posX,posY,posZ,halfSizeX,halfSizeY,halfSizeZ
0,0,0,499.5,499.5,499.5
0,0,146.2159,166.5,0,20.28406
-153.0018,4.467823,138.0229,1,4.514074,1
-126.1269,0.4445063,132.6588,0.1380234,0.4447378,0.1307983
-39.54596,3.145707,144.9847,0.6000023,3.603291,0.6000061
-64.35882,0.5229791,150.2711,0.158699,0.5232514,0.1549225
25.30779,3.325129,151.8172,0.6000004,3.808812,0.6000061
-101.9569,4.03882,137.2915,0.5999985,4.626318,0.6000061
-94.14077,0.7321793,130.6076,0.1480942,0.7325607,0.1531219
14.56233,2.641026,154.7726,0.6000004,3.025197,0.6000061
-101.1947,3.793328,164.3203,0.5999985,4.345117,0.6000061
106.5977,3.838912,156.2593,1,3.878652,1
-22.21957,4.660333,162.9389,1,4.708577,1
68.21927,0.727599,164.1392,0.1587067,0.727978,0.1615601
-60.42501,4.780421,135.6028,1,4.829907,1
-151.6029,0.4224986,163.4411,0.1276855,0.4227187,0.1352234
-46.72256,4.399953,163.3995,0.5999985,5.039983,0.6000061
54.94037,3.032902,141.0731,0.5999985,3.474077,0.6000061
-23.84023,0.4408183,145.526,0.1607685,0.4410478,0.1629639
41.21005,4.396026,145.965,0.6000023,5.035483,0.6000061
-74.15418,4.500961,143.5987,1,4.547556,1
-130.4088,3.023118,128.9571,0.4900055,3.378779,0.4900055
81.85915,4.790763,159.5936,1,4.840358,1
60.51419,4.021598,157.3189,1,4.06323,1
78.923,0.6412107,140.576,0.1201248,0.6415447,0.1283417
65.38214,3.281217,143.4974,0.4899979,3.667243,0.4900055
-102.0661,0.5006272,157.5083,0.1614304,0.5008879,0.1633911
-82.77521,4.882833,162.224,1,4.933381,1
-104.8311,2.847362,151.6372,0.4899979,3.182346,0.4900055
-111.3813,3.958632,147.8237,0.4899979,4.424354,0.4900055
-54.87489,4.849698,143.3769,0.5999985,5.555148,0.6000061
-8.618434,4.365572,146.3558,0.4899998,4.879168,0.4900055
-129.0625,4.840914,138.4712,0.6000061,5.545087,0.6000061
41.06092,0.4685527,155.4725,0.1613579,0.4687968,0.158432
-105.4357,4.414192,161.6359,0.5999985,5.056293,0.6000061
-33.91547,3.539266,150.43,0.4900017,3.95565,0.4900055
-45.65134,4.411465,147.3798,1,4.457133,1
-98.65289,4.297921,133.9217,0.5999985,4.923108,0.6000061
-137.8927,5.084415,136.5499,1,5.137051,1
-105.2148,3.494946,138.8479,0.4899979,3.906117,0.4900055
-26.0555,4.100697,164.6517,0.6000004,4.697196,0.6000061
-30.48122,0.4776223,152.4251,0.1545467,0.4778711,0.1584015
161.3824,3.163002,153.2324,0.6000061,3.623102,0.6000061
-126.879,4.98219,128.7484,1,5.033767,1
144.0341,3.438196,161.6839,1,3.473788,1
-144.992,4.280483,151.9598,0.6000061,4.903135,0.6000061
-132.5397,5.434279,151.1403,1,5.490537,1
-125.7147,4.291504,148.996,0.5999985,4.915758,0.6000061
29.18825,3.51895,158.9881,0.6000004,4.030827,0.6000061
-1.695371,2.575189,157.7599,0.4900004,2.878152,0.4900055
-1.963613,2.626702,155.6656,0.4900001,2.935726,0.4900055
-156.4541,3.470215,156.6752,0.6000061,3.975001,0.6000061
-160.073,2.675382,139.5226,0.6000061,3.06455,0.6000061
-149.2252,4.081752,129.6835,0.6000061,4.675495,0.6000061
-102.347,4.519451,136.9871,1,4.566236,1
-136.3087,4.009594,139.8134,1,4.051102,1
-162.651,3.51144,164.9294,0.6000061,4.022224,0.6000061
-120.2393,5.01931,130.2023,1,5.07127,1
-15.6221,2.701985,148.3683,0.6000004,3.095023,0.6000061
-145.3995,6.129539,135.265,1,6.192992,1
121.1586,3.400431,147.9779,0.4899979,3.800482,0.4900055
-118.1317,4.36216,153.2201,0.4899979,4.875355,0.4900055
-89.29691,3.202369,154.8118,0.5999985,3.668194,0.6000061
-0.484318,0.458266,155.135,0.1640424,0.4585046,0.1625977
-31.01879,0.4455133,136.4775,0.1576519,0.4457453,0.1536102
50.73463,3.308242,152.6398,0.5999985,3.789468,0.6000061
-29.35279,4.080477,140.7888,1,4.122719,1
64.46586,3.420897,141.9379,0.4899979,3.823357,0.4900055
29.44574,0.7283862,151.7923,0.1610737,0.7287655,0.1631622
-1.631164,5.533266,136.2997,1.000001,5.590548,1
159.9155,4.39004,147.7123,1,4.435487,1
-12.78674,3.367998,161.6497,0.6000004,3.857916,0.6000061
-59.38919,5.845448,159.6349,1,5.905961,1
116.0881,5.087778,150.4451,1,5.140448,1
131.5101,0.6959898,162.5178,0.124527,0.6963522,0.1159821
-158.5146,2.823783,138.5126,0.6000061,3.234538,0.6000061
45.45285,4.144299,146.5083,0.5999985,4.747141,0.6000061
-19.42755,0.7081144,158.9343,0.1290588,0.7084832,0.1209106
48.66344,2.853204,166.1388,0.6000023,3.26824,0.6000061
5.047852,0.7212548,164.214,0.1617908,0.7216303,0.1590424
-116.038,3.065434,140.0469,0.4899979,3.426073,0.4900055
141.0328,3.983231,146.322,0.4900055,4.451847,0.4900055
-75.27032,0.425654,164.7603,0.1382217,0.4258757,0.131012
118.5908,0.4308867,160.0192,0.1441269,0.431111,0.1497498
-134.7803,0.5262244,136.7901,0.1582794,0.5264985,0.1612396
17.5382,0.4510185,145.7425,0.1611042,0.4512533,0.1580963
0.6924362,4.088063,150.8356,1,4.130383,1
-134.8637,3.900726,149.8102,0.6000061,4.468138,0.6000061
31.5125,2.746115,150.3377,0.4899998,3.069188,0.4900055
-128.6817,4.506464,140.9394,1,4.553116,1
63.83018,3.55809,159.1556,1,3.594923,1
11.47438,4.875154,141.0092,0.6000004,5.584308,0.6000061
-139.7686,0.6258072,161.6726,0.1509399,0.6261331,0.1455231
-113.7384,2.773531,158.2674,0.5999985,3.176977,0.6000061
-46.96621,0.6927078,159.1409,0.1645355,0.6930685,0.1641693
117.9827,3.536465,151.5022,0.5999985,4.050889,0.6000061
86.61523,3.399413,154.1488,0.5999985,3.893901,0.6000061
3.624658,3.325969,162.946,0.4900002,3.717259,0.4900055
-82.35958,5.57939,149.5618,1,5.637148,1
66.0316,3.727314,149.5443,0.5999985,4.269499,0.6000061
63.68652,3.442449,150.1774,0.5999985,3.943197,0.6000061
98.54146,0.5523033,156.1388,0.1346664,0.552591,0.1414795
-162.4337,3.657489,150.0559,0.4900055,4.087782,0.4900055
-132.5165,5.092356,142.2408,1,5.145071,1
-152.0334,4.390927,166.079,0.4900055,4.907508,0.4900055
159.8156,5.773533,149.7493,1,5.833301,1
-153.82,3.520361,143.3683,0.4900055,3.934522,0.4900055
7.765906,0.4085444,151.7442,0.1644354,0.4087572,0.1635132
2.294491,4.005095,143.8947,1,4.046556,1
43.81656,0.4779658,138.6846,0.1535301,0.4782147,0.1485748
116.7186,3.915054,162.606,1,3.955583,1
-83.2128,0.6280465,163.3472,0.1594315,0.6283736,0.1558685
-105.3501,0.6780299,146.2443,0.161705,0.678383,0.1589203
-110.1457,4.017748,148.6004,1,4.05934,1
63.63213,0.6487987,142.649,0.1589203,0.6491365,0.1617126
